,Actual,Predicted
0,3506.576416015625,3519.46337890625
1,3554.270751953125,3547.9814453125
2,3596.3129882812505,3581.182861328125
3,3571.375244140625,3603.703125
4,3606.129638671875,3621.03271484375
5,3579.2084960937505,3627.11279296875
6,3593.2392578125,3617.25146484375
7,3540.240234375,3608.82666015625
8,3551.3952636718755,3627.486083984375
9,3554.1220703125,3633.90869140625
10,3526.9033203125,3628.254150390625
11,3577.869873046875,3626.806396484375
12,3600.130615234375,3614.833740234375
13,3631.8110351562505,3609.2509765625
14,3639.9418945312505,3601.537841796875
15,3664.9294433593745,3610.56982421875
16,3675.2915039062495,3621.32177734375
17,3663.541259765625,3636.451171875
18,3702.2619628906245,3663.26953125
19,3706.823486328125,3681.5068359375
20,3785.5534667968755,3697.737548828125
21,3851.988525390625,3710.27099609375
22,3828.38916015625,3726.7265625
23,3775.3403320312505,3743.944580078125
24,3821.0019531249995,3764.931884765625
25,3847.1298828125,3794.306640625
26,3882.875732421875,3818.659423828125
27,3827.347900390625,3845.669189453125
28,3865.0275878906255,3855.966064453125
29,3934.685302734375,3851.891845703125
30,3985.2548828124995,3856.388671875
31,3956.94580078125,3878.55615234375
32,3888.45703125,3895.154541015625
33,3800.94677734375,3909.554931640625
34,3807.85009765625,3916.60546875
35,3746.115966796875,3935.20849609375
36,3744.675537109375,3939.885986328125
37,3624.8330078125,3920.2822265625
38,3665.360107421875,3878.04052734375
39,3711.250732421875,3831.724853515625
40,3775.2197265625,3793.487060546875
41,3830.3981933593755,3772.1337890625
42,3799.0097656250005,3748.83056640625
43,3789.37451171875,3743.805908203125
44,3753.7148437500005,3744.091064453125
45,3718.4025878906245,3778.819580078125
46,3735.3881835937505,3806.010009765625
47,3745.122802734375,3821.54443359375
48,3670.2270507812495,3819.256103515625
49,3708.767578125,3799.552001953125
50,3792.255126953125,3783.6396484375
51,3787.586669921875,3768.355712890625
52,3758.8798828125,3762.373046875
53,3768.5148925781245,3766.984130859375
54,3694.513427734375,3769.773193359375
55,3562.4033203125,3771.36279296875
56,3539.954833984375,3789.23974609375
57,3378.8896484374995,3791.431884765625
58,3497.1926269531245,3760.989501953125
59,3530.4189453125,3717.447265625
60,3522.4226074218755,3668.239013671875
61,3520.684326171875,3606.678466796875
62,3500.768798828125,3558.18505859375
63,3461.58251953125,3542.07763671875
64,3575.86279296875,3531.82177734375
65,3608.29443359375,3565.076171875
66,3596.7221679687495,3570.774658203125
67,3575.0681152343745,3570.99072265625
68,3618.624755859375,3576.85546875
69,3569.8532714843745,3587.50341796875
70,3631.438232421875,3606.957275390625
71,3648.17578125,3639.64013671875
72,3602.4338378906245,3645.805908203125
73,3676.18701171875,3645.088134765625
74,3687.560302734375,3649.4296875
75,3724.760009765625,3662.41650390625
76,3682.6435546874995,3668.540283203125
77,3682.891845703125,3691.028076171875
78,3680.5576171875,3701.418701171875
79,3706.582275390625,3709.80419921875
80,3714.926025390625,3731.3310546875
81,3733.600341796875,3735.671630859375
82,3745.122802734375,3738.17333984375
83,3789.2753906249995,3732.996826171875
84,3730.22314453125,3741.21923828125
85,3659.499267578125,3752.466064453125
86,3660.9892578125,3765.5068359375
87,3671.66748046875,3771.13037109375
88,3666.403076171875,3772.037109375
89,3637.447998046875,3764.726318359375
90,3504.4438476562495,3750.323974609375
91,3448.66943359375,3718.7490234375
92,3533.00146484375,3693.665283203125
93,3604.37060546875,3678.304931640625
94,3588.378662109375,3656.25390625
95,3524.458984375,3627.1669921875
96,3522.57177734375,3596.662109375
97,3537.3720703125,3572.39990234375
98,3560.317626953125,3582.7314453125
99,3522.968994140625,3608.44677734375
100,3518.6977539062505,3612.266845703125
101,3456.467041015625,3596.0947265625
102,3489.891845703125,3581.2578125
103,3409.632568359375,3580.334716796875
104,3422.049072265625,3576.29296875
105,3415.741455078125,3563.624755859375
106,3389.1704101562505,3539.639892578125
107,3385.8427734375,3519.99755859375
108,3392.05078125,3496.7353515625
109,3354.2060546875,3485.936767578125
110,3428.505615234375,3462.9521484375
111,3425.7241210937495,3459.095947265625
112,3240.1242675781255,3451.734375
113,3270.966552734375,3443.872802734375
114,3299.5241699218745,3439.148681640625
115,3266.0000000000005,3430.52783203125
116,3167.64990234375,3414.64990234375
117,3226.949951171875,3401.61328125
118,3261.3000488281245,3361.275634765625
119,3375.25,3315.411376953125
120,3364.35009765625,3318.43701171875
121,3355.1999511718745,3316.303466796875
122,3423.0,3311.227294921875
