2022/06/02,AAPL,"Apple Inc.","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-0.13(-0.09%)</span>",$149.9,$151.74,$147.68,$148.84,74286635
2022/06/02,GOOG,"Alphabet Inc.","<span style='color: green'><i class='fas fa-arrow-up'></i>&nbsp;1.96(0.09%)</span>",$2298.63,$2347.98,$2271.01,$2280.78,1406960
2022/06/02,AMZN,"Amazon.com, Inc.","<span style='color: green'><i class='fas fa-arrow-up'></i>&nbsp;29.49(1.23%)</span>",$2445.12,$2503.58,$2412.45,$2404.19,6250258
2022/06/02,MSFT,"Microsoft Corporation","<span style='color: green'><i class='fas fa-arrow-up'></i>&nbsp;0.55(0.2%)</span>",$275.2,$277.69,$270.04,$271.87,25292174
2022/06/02,JPM,"JPMorgan Chase & Co.","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-2.32(-1.75%)</span>",$132.87,$132.87,$128.67,$132.23,10303458
2022/06/02,FB,"Meta Platforms, Inc.","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-5(-2.58%)</span>",$196.51,$199.52,$185,$193.64,35697429
2022/06/02,TWTR,"Twitter, Inc.","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-0.3(-0.76%)</span>",$39.8,$40.26,$39.24,$39.6,11006115
2022/06/02,TATAMOTORS.NS,"Tata Motors Limited","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-5.9(-1.33%)</span>",&#8377;445,&#8377;445.6,&#8377;437.5,&#8377;444.6,6882452
2022/06/02,ICICIBANK.NS,"ICICI Bank Limited","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-6.1(-0.81%)</span>",&#8377;751.05,&#8377;751.75,&#8377;743.2,&#8377;752.65,7490456
2022/06/02,HDFCBANK.NS,"HDFC Bank Limited","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-12.1(-0.87%)</span>",&#8377;1387.25,&#8377;1388,&#8377;1379.55,&#8377;1394.85,3868778
2022/06/02,BTC-USD,"Bitcoin USD","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-1612.17(-5.1%)</span>",$29753.32,$29996.23,$29664.84,$29753.32,41915314176
2022/06/02,ETH-USD,"Ethereum USD","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-112.2(-5.79%)</span>",$1815.77,$1830.5,$1808,$1815.77,21594646528
2022/06/02,USDT-USD,"Tether USD","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-0(-0.01%)</span>",$1,$1,$1,$1,69324963840
2022/06/02,BNB-USD,"Binance Coin USD","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-16.14(-5.06%)</span>",$299.86,$303.77,$299.08,$299.86,1694116608
2022/06/02,ION-USD,"ION USD","<span style='color: green'><i class='fas fa-arrow-up'></i>&nbsp;0.01(71.98%)</span>",$0.02,$0.02,$0.02,$0.02,26
2022/06/02,USDC-USD,"USD Coin USD","<span style='color: green'><i class='fas fa-arrow-up'></i>&nbsp;0(0.01%)</span>",$1,$1,$1,$1,6292931584
2022/06/02,XRP-USD,"XRP USD","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-0.02(-5.18%)</span>",$0.4,$0.4,$0.39,$0.4,1634688256
2022/06/02,SOL-USD,"Solana USD","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-5.37(-11.92%)</span>",$40.07,$40.15,$38.42,$40.07,1628416512
2022/06/02,ADA-USD,"Cardano USD","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-0.04(-5.87%)</span>",$0.55,$0.57,$0.55,$0.55,1481971968
2022/06/02,LUNA1-USD,"Terra USD","<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-0(-8.94%)</span>",$0,$0,$0,$0,267809184
2022/06/02,EURUSD=X,EUR/USD,"<span style='color: green'><i class='fas fa-arrow-up'></i>&nbsp;0(0.33%)</span>",1.07,1.07,1.06,1.07
2022/06/02,INR=X,USD/INR,"<span style='color: green'><i class='fas fa-arrow-up'></i>&nbsp;0.04(0.05%)</span>",77.53,77.64,77.53,77.53
2022/06/02,JPY=X,USD/JPY,"<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-0.27(-0.21%)</span>",130.13,130.24,129.75,130.13
2022/06/02,GBPUSD=X,GBP/USD,"<span style='color: green'><i class='fas fa-arrow-up'></i>&nbsp;0(0.4%)</span>",1.25,1.25,1.25,1.25
2022/06/02,EURJPY=X,EUR/JPY,"<span style='color: green'><i class='fas fa-arrow-up'></i>&nbsp;0.2(0.14%)</span>",138.64,138.85,138.36,138.62
2022/06/02,EURGBP=X,EUR/GBP,"<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-0(-0.05%)</span>",0.85,0.85,0.85,0.85
2022/06/02,CNY=X,USD/CNY,"<span style='color: red'><i class='fas fa-arrow-down'></i>&nbsp;-0.01(-0.21%)</span>",6.69,6.71,6.67,6.69
